Segment_ID,Distance,Depth,Installation_Year
1,3745.401188473625,2.3963234280394903,2014
2,9507.143064099162,2.072192732688241,2011
3,7319.939418114051,1.6190552325726555,2015
4,5986.584841970366,2.6275900394138976,2018
5,1560.1864044243653,2.3694623451077588,2007
6,1559.9452033620264,1.3252338786897826,2020
7,580.8361216819947,2.821854368987685,2016
8,8661.761457749351,2.645074485846338,2022
9,6011.150117432088,2.899599826583848,2004
10,7080.725777960455,2.45143901677672,2021
11,205.84494295802446,2.2268303918715797,2015
12,9699.098521619942,1.8364860725812377,2005
13,8324.426408004218,2.8654569667080265,2007
14,2123.3911067827617,2.732127779000817,2017
15,1818.2496720710062,1.0904373402123788,2011
16,1834.0450985343382,1.052733948994504,2014
17,3042.4224295953773,1.7529267337560992,2008
18,5247.5643163223785,2.621106661563666,2012
19,4319.450186421158,2.974552258629889,2014
20,2912.2914019804193,1.3008337822070564,2009
21,6118.528947223795,2.1882614307042703,2015
22,1394.9386065204183,1.761781713262043,2006
23,2921.4464853521818,2.9398287956292064,2016
24,3663.618432936917,2.6842378462714174,2022
25,4560.699842170359,2.6766574094222757,2020
26,7851.759613930136,1.9373863195899406,2021
27,1996.7378215835975,1.8296390046753304,2006
28,5142.344384136116,1.5468141438614125,2013
29,5924.145688620425,1.1127509933018542,2014
30,464.50412719997723,2.7294447525101067,2020
31,6075.448519014383,2.6258020182601554,2006
32,1705.2412368729154,2.999435346572261,2008
33,650.5159298527951,2.9932736741478108,2018
34,9488.855372533333,2.110863411205255,2015
35,9656.320330745593,2.537974830361021,2007
36,8083.973481164611,2.8895314597648563,2017
37,3046.137691733707,2.6992947813548227,2022
38,976.7211400638387,1.4946962034863953,2017
39,6842.330265121569,1.901088270620187,2019
40,4401.524937396013,1.25831883030299,2006
41,1220.3823484477882,2.9081020545174447,2002
42,4951.769101112702,2.21234926890176,2017
43,343.88521115218396,1.4572856110069254,2009
44,9093.20402078782,2.3434013688117137,2006
45,2587.7998160001694,2.2362564809157917,2016
46,6625.22284353982,1.716325436065681,2013
47,3117.1107608941097,1.227115184399258,2002
48,5200.680211778108,2.3431463911855994,2011
49,5467.102793432797,2.0406154018075866,2012
50,1848.5445552552703,2.5446367834712786,2001
51,9695.846277645585,2.0403270022239868,2002
52,7751.328233611145,2.7043630006370805,2004
53,9394.98941564189,2.1038136775489713,2010
54,8948.273504276489,2.1218759430707728,2007
55,5978.999788110851,2.7533072053166903,2022
56,9218.742350231169,1.806965732424794,2022
57,884.925020519195,1.2680304569012815,2011
58,1959.828624191452,1.057565352626678,2006
59,452.27288910538067,2.5102745113472382,2014
60,3253.3033076326433,2.2406191027069293,2016
61,3886.77289689482,2.408159536198447,2003
62,2713.490317738959,1.4259283230178215,2021
63,8287.375091519294,1.2727429511735395,2012
64,3567.5332669358927,1.0290893313357639,2017
65,2809.3450968738075,1.701175117613194,2000
66,5426.960831582484,2.179835373709266,2015
67,1409.2422497476264,1.7844880901994646,2012
68,8021.969807540397,1.8749498440474581,2009
69,745.5064367977083,2.808317388987497,2011
70,9868.869366005172,1.6965109340466007,2001
71,7722.447692966574,2.027978978319622,2022
72,1987.156815341724,2.567306025482286,2002
73,55.22117123602399,1.7930855646425403,2009
74,8154.614284548342,2.2441734004557468,2001
75,7068.573438476171,2.72472741749349,2022
76,7290.071680409873,2.8990412473152842,2012
77,7712.703466859457,1.2941469618580759,2012
78,740.4465173409036,2.853175250322989,2017
79,3584.657285442726,1.9842325861590764,2002
80,1158.690595251297,1.5164887765979167,2006
81,8631.034258755935,1.9182715124765226,2013
82,6232.981268275579,2.960065150570954,2019
83,3308.980248526492,1.9852361879857392,2016
84,635.5835028602363,1.6575032205750164,2020
85,3109.823217156622,2.2668017086334515,2011
86,3251.8332202674706,1.4802912375563861,2015
87,7296.061783380641,1.1517266562173278,2011
88,6375.5747135521315,1.2577594438212985,2014
89,8872.127425763265,1.2560916779155449,2009
